Date,Clicks,Impressions,CTR,Position
2024-11-02,2839,200601,1.42%,43.83
2024-11-01,6251,253879,2.46%,39.68
2024-10-31,7644,214907,3.56%,33.38
2024-10-30,8257,215957,3.82%,31.21
2024-10-29,8760,230940,3.79%,31.6
2024-10-28,9145,240608,3.8%,32.14
2024-10-27,3726,189838,1.96%,39.65
2024-10-26,3154,189978,1.66%,42.8
2024-10-25,6992,231629,3.02%,34.28
2024-10-24,9087,247326,3.67%,32.14
2024-10-23,9880,256461,3.85%,34.1
2024-10-22,9849,282936,3.48%,35.86
2024-10-21,9597,273636,3.51%,35.59
2024-10-20,3836,191934,2%,40.34
2024-10-19,2934,182372,1.61%,40.64
2024-10-18,6823,227418,3%,33.56
2024-10-17,8267,235726,3.51%,30.86
2024-10-16,9030,232739,3.88%,30.02
2024-10-15,9009,213577,4.22%,28.96
2024-10-14,8401,219481,3.83%,30.58
2024-10-13,3706,163975,2.26%,35.44
2024-10-12,2848,142296,2%,35.22
2024-10-11,6711,182463,3.68%,31.17
2024-10-10,8345,196927,4.24%,27.3
2024-10-09,8730,203745,4.28%,27.13
2024-10-08,9097,226967,4.01%,28.39
2024-10-07,9234,222743,4.15%,28.54
2024-10-06,3694,163741,2.26%,35.93
2024-10-05,2896,149921,1.93%,37.59
2024-10-04,6994,195022,3.59%,31.01
2024-10-03,8322,200957,4.14%,28.94
2024-10-02,8636,215220,4.01%,30.43
2024-10-01,9067,210384,4.31%,29.11
2024-09-30,9457,202863,4.66%,26.22
2024-09-29,3761,149754,2.51%,34.28
2024-09-28,2851,140049,2.04%,34.68
2024-09-27,6648,179052,3.71%,28.76
2024-09-26,8821,197004,4.48%,26.02
2024-09-25,9142,200063,4.57%,25.45
2024-09-24,9526,207939,4.58%,27.3
2024-09-23,9269,218357,4.24%,28.2
2024-09-22,4034,139527,2.89%,32.74
2024-09-21,3344,186655,1.79%,40
2024-09-20,7376,178125,4.14%,26.66
2024-09-19,8556,188169,4.55%,25.71
2024-09-18,8865,192900,4.6%,26.71
2024-09-17,9231,184681,5%,25.12
2024-09-16,9178,200406,4.58%,26.13
2024-09-15,3601,142389,2.53%,33.55
2024-09-14,2714,137163,1.98%,34.52
2024-09-13,6541,170876,3.83%,27.84
2024-09-12,8091,181424,4.46%,25.11
2024-09-11,8611,191612,4.49%,25.34
2024-09-10,8868,207634,4.27%,26.97
2024-09-09,9289,199124,4.66%,23.29
2024-09-08,3661,147964,2.47%,28.76
2024-09-07,2656,173258,1.53%,25.09
2024-09-06,6891,192718,3.58%,24.18
2024-09-05,8597,192754,4.46%,23.8
2024-09-04,9023,198679,4.54%,25.52
2024-09-03,9530,202143,4.71%,25.65
2024-09-02,5395,174039,3.1%,29.1
2024-09-01,3159,132262,2.39%,28.81
2024-08-31,2506,131557,1.9%,28.27
2024-08-30,6274,170263,3.68%,25.88
2024-08-29,8079,180767,4.47%,23.15
2024-08-28,8585,186708,4.6%,22.37
2024-08-27,8820,177570,4.97%,21.77
2024-08-26,9122,179659,5.08%,22.38
2024-08-25,3869,147497,2.62%,27.28
2024-08-24,2804,134481,2.09%,32.45
2024-08-23,6789,174077,3.9%,25.18
2024-08-22,8526,201596,4.23%,24.45
2024-08-21,8973,227766,3.94%,27.74
2024-08-20,9387,191320,4.91%,23.15
2024-08-19,9042,195407,4.63%,24.63
2024-08-18,3676,142887,2.57%,31.1
2024-08-17,2786,130291,2.14%,31.15
2024-08-16,6547,156875,4.17%,25.82
2024-08-15,7741,152336,5.08%,22.49
2024-08-14,8490,168911,5.03%,20.71
2024-08-13,8859,176573,5.02%,21.19
2024-08-12,8636,169425,5.1%,21.46
2024-08-11,3214,118548,2.71%,25.8
2024-08-10,2626,119994,2.19%,28.48
2024-08-09,6018,157861,3.81%,25.05
2024-08-08,7858,188674,4.16%,25.89
2024-08-07,8381,170297,4.92%,22.52
2024-08-06,8415,182807,4.6%,23.7
2024-08-05,8247,175603,4.7%,21.83
2024-08-04,3339,128263,2.6%,25.92
2024-08-03,2403,128073,1.88%,27.62
2024-08-02,5947,165403,3.6%,24.79
2024-08-01,7871,170301,4.62%,21.67
2024-07-31,8127,173516,4.68%,21.42
2024-07-30,8319,170396,4.88%,21.99
2024-07-29,8759,171221,5.12%,22.61
2024-07-28,3689,115988,3.18%,26.34
2024-07-27,2673,115820,2.31%,29.92
2024-07-26,6051,157324,3.85%,25.26
2024-07-25,7798,169234,4.61%,22.6
2024-07-24,8302,181358,4.58%,23.02
2024-07-23,8814,184004,4.79%,22.69
2024-07-22,8970,194074,4.62%,23.36
2024-07-21,3400,158344,2.15%,30.55
2024-07-20,2756,137440,2.01%,28.15
2024-07-19,8728,212593,4.11%,19.16
2024-07-18,8439,179182,4.71%,21.48
2024-07-17,9089,211376,4.3%,19.44
2024-07-16,8438,185584,4.55%,20.55
2024-07-15,8511,177188,4.8%,21.06
2024-07-14,3120,120352,2.59%,25.62
2024-07-13,2469,118719,2.08%,27.72
2024-07-12,6491,160361,4.05%,22.48
2024-07-11,8133,176740,4.6%,21.17
2024-07-10,8736,192783,4.53%,23.38
2024-07-09,8708,176043,4.95%,21.66
2024-07-08,8218,181106,4.54%,22.49
2024-07-07,3102,122692,2.53%,27.24
2024-07-06,2318,113369,2.04%,28.38
2024-07-05,4884,139884,3.49%,25.23
2024-07-04,4490,143188,3.14%,24.84
2024-07-03,7035,169214,4.16%,23.99
2024-07-02,7843,180463,4.35%,23.71
2024-07-01,7711,184410,4.18%,24.66
2024-06-30,3132,122079,2.57%,26.42
2024-06-29,2289,116327,1.97%,27.14
2024-06-28,6329,182881,3.46%,21.18
2024-06-27,7550,165824,4.55%,20.71
2024-06-26,7921,179339,4.42%,22.83
2024-06-25,8347,180470,4.63%,22.93
2024-06-24,8353,203420,4.11%,25.83
2024-06-23,3110,122098,2.55%,25.87
2024-06-22,2341,112542,2.08%,27.29
2024-06-21,6241,151961,4.11%,23.45
2024-06-20,7523,168911,4.45%,21.89
2024-06-19,6887,165244,4.17%,22.02
2024-06-18,8430,188476,4.47%,21.13
2024-06-17,8241,184287,4.47%,21.29
2024-06-16,2732,119478,2.29%,28.1
2024-06-15,2345,121916,1.92%,28.13
2024-06-14,6369,164963,3.86%,23.41
2024-06-13,8039,173254,4.64%,22.86
2024-06-12,8237,191547,4.3%,21.9
2024-06-11,8597,195722,4.39%,22.14
2024-06-10,8943,211274,4.23%,23.24
2024-06-09,3202,125425,2.55%,29.13
2024-06-08,2607,117207,2.22%,30.38
2024-06-07,6544,156827,4.17%,25.08
2024-06-06,8007,168952,4.74%,22.82
2024-06-05,8706,171499,5.08%,21.99
2024-06-04,8667,182207,4.76%,21.49
2024-06-03,8678,168838,5.14%,21.41
2024-06-02,3097,103983,2.98%,25.22
2024-06-01,2238,97199,2.3%,27.03
2024-05-31,6156,140367,4.39%,21.74
2024-05-30,7780,184155,4.22%,20.76
2024-05-29,8329,182028,4.58%,21.8
2024-05-28,8755,211251,4.14%,24.84
2024-05-27,5030,174017,2.89%,26.09
2024-05-26,2883,146527,1.97%,29.85
2024-05-25,2208,153333,1.44%,32.56
2024-05-24,6041,212456,2.84%,26.02
2024-05-23,7817,190795,4.1%,22.51
2024-05-22,8353,175994,4.75%,21.9
2024-05-21,8398,185667,4.52%,22.91
2024-05-20,7729,167945,4.6%,23.45
2024-05-19,2925,114907,2.55%,26.83
2024-05-18,2282,113219,2.02%,28.74
2024-05-17,6355,156381,4.06%,23.52
2024-05-16,7883,164843,4.78%,21.99
2024-05-15,8502,168139,5.06%,22.35
2024-05-14,8640,176776,4.89%,21.66
2024-05-13,9812,189068,5.19%,21.11
2024-05-12,3023,127550,2.37%,28.25
2024-05-11,2195,120554,1.82%,30.64
2024-05-10,5918,172300,3.43%,27.93
2024-05-09,7583,180221,4.21%,22.68
2024-05-08,7973,181194,4.4%,22.43
2024-05-07,8411,178028,4.72%,22.39
2024-05-06,8487,174048,4.88%,22.86
2024-05-05,3065,125502,2.44%,28.41
2024-05-04,2471,118599,2.08%,29.63
2024-05-03,6430,179356,3.59%,26.64